"Tool","URL","Category","Description","Cost","Business Model","Maintained By","Maintenance","Markup Language","Content Model","Authoring Workflow Model","Visual Editor","Content Reuse","Dark Mode","Output Formats","Publishing & Delivery","CI/CD","Incremental Builds","Custom Domain","Multi-repo Support","Versioning","Private/Gated Docs","i18n","Search","Plugin Ecosystem","Theming Control","Auth / Security Methods","Security Notes","AI Authoring","AI End-User Q&A","AI Pricing & Models","AI Tooling Origin","Local Models Supported"
"Gitbook","https://www.gitbook.com/","Platform, Knowledge Management","Documentation platform with a git-backed workflow, clean block editor, and support for technical writing. Handles both internal knowledge bases and external-facing product docs from one workspace. Built-in AI features for search and writing.","Freemium","VC-backed SaaS","Company","Yes","Markdown","Dynamic","Git-synced, In-browser editor","Yes","Yes","Yes","HTML","Deploy automation, Multi-environment, Preview environments","Yes","No","Yes","Yes","Yes","Yes","No","Built-in (Server-side)","Partial","No","Custom Auth Backend, OIDC / OAuth, RBAC, SSO (SAML 2.0)","SAML SSO (Enterprise plan). Authenticated Access via custom auth backend (Ultimate plan) — delegates to your own IdP (e.g., Auth0, Okta). Email-domain SSO. No native 2FA or shared password for visitor access.","Yes","Built-in AI chat/search, llms.txt provided","Included in plan, Paid add-on","First-party (built-in)","Unknown"
"Hugo","https://gohugo.io/","Framework, Static Site Generator","Go-based static site generator known for its build speed. Widely used for documentation via themes like Docsy and Hextra. Ships as a single binary with no runtime dependencies, making CI/CD setup straightforward.","Free (Open-source)","","Community","Yes","Markdown","Static","","No","","","HTML","","Yes","","","","No","","Yes","Pluggable","Partial","","","","No","","","",""
"Jekyll","https://jekyllrb.com/","Framework, Static Site Generator","Ruby-based static site generator that powers GitHub Pages. The original modern SSG — mature theme and plugin ecosystem. Popular for project sites, OSS docs, and developer blogs. Has lost mindshare to newer JS-based SSGs but remains widely deployed.","Free (Open-source)","Open-source / Donations","Community","Partial","Markdown, HTML","Static","Local files + CLI","No","Yes","No","HTML","Deploy automation, Edge/CDN-friendly","Yes","Yes","Yes","No","No","No","No","Pluggable","Yes","Yes","DIY / None built-in","Static site generator — no built-in auth. Gate at hosting layer (GitHub Pages org-level access, Netlify password, Cloudflare Access, reverse proxy basic auth, etc.).","No","External / DIY integration only","","None","No"
"Kapa.ai","https://www.kapa.ai/","Platform, AI, Knowledge Management","AI-powered Q&A layer that sits on top of your existing technical documentation. Trains on your docs to answer developer questions accurately with citations. Deployed as a chat widget, Slack bot, or API integration.","Pay-to-use","VC-backed SaaS","Company","Yes","","Dynamic","AI-assisted","Yes","No","No","","","No","No","No","Yes","No","Yes","No","Built-in (Server-side)","No","No","","AI search/chat overlay — access control depends on underlying source docs and your integration config. No standalone doc-gating model.","Yes","Built-in AI chat/search, MCP server","Included in plan · Claude, Cohere, OpenAI, Other","Hybrid (first-party + 3rd-party)","No"
"Mintlify","https://www.mintlify.com/","Platform, Framework","Modern developer documentation platform with a polished UI, MDX support, and git-based workflow. Designed for product and API docs with built-in AI search, analytics, and custom branding. Low setup friction for teams starting fresh.","Freemium","VC-backed SaaS","Company","Yes","Markdown, MDX","Static","Git-synced, Local files + CLI","Partial","Yes","Yes","HTML","Deploy automation, Multi-environment, Preview environments","Yes","No","Yes","Yes","Yes","Yes","Yes","Built-in (Client-side)","Partial","Partial","Custom Auth Backend, OIDC / OAuth, Password (shared)","Password (shared), JWT, or OAuth auth launched Dec 2024. Full or partial section protection. No native SAML/SSO — relies on your own IdP via JWT or OAuth. Recent security incidents (Mar 2024, Nov 2025) prompted major hardening.","Yes","Built-in AI chat/search, MCP server, llms.txt provided","Included in plan, Usage-based","First-party (built-in)","Unknown"
"MkDocs","https://www.mkdocs.org/","Framework, Static Site Generator","Simple, fast static site generator written in Python and geared toward project documentation. Markdown-based with a rich plugin ecosystem. The Material for MkDocs theme makes it one of the most popular doc frameworks in open-source.","Free (Open-source)","Open-source / Donations","Community","Yes","Markdown","Static","Local files + CLI","No","Yes","Yes","HTML","","Yes","No","Yes","No","Yes","No","No","Pluggable","Yes","Yes","DIY / None built-in","Static site generator — no built-in auth. MkDocs Material Insiders has limited access-control hooks. Otherwise gate at web server or hosting layer.","No","External / DIY integration only, Kapa.ai / Inkeep / similar embed","","None","No"
"Nextra","https://nextra.site/","Framework, Static Site Generator","Next.js-based documentation framework with MDX support and a clean default theme. Zero-config for React and Next.js projects, with built-in full-text search, i18n, and syntax highlighting. Gaining adoption across the JS ecosystem.","Free (Open-source)","","Community","Yes","Markdown, MDX","Static","","No","","","HTML","","Yes","","","","No","","Yes","Built-in (Client-side)","Partial","","","","No","","","",""
"Paligo","https://paligo.net/","Platform, Knowledge Management, API Docs","Cloud-based Component Content Management System (CCMS) for enterprise-scale structured authoring. DITA/XML-based with single-sourcing, multi-channel publishing, translation management, and review workflows built in.","Pay-to-use","Subscription","Company","Yes","XML, DITA","Dynamic","In-browser editor","Yes","Yes","No","HTML, PDF, ePub","Deploy automation, Multi-environment, Release gating","Yes","No","Yes","No","Yes","Yes","Yes","Built-in (Server-side)","Partial","Partial","2FA / TOTP, RBAC, SSO (SAML 2.0)","2FA/TOTP required by default for all users (auth app or email code). SAML SSO via Okta, JumpCloud, or Azure AD (Enterprise plan). MFA centrally enforceable on Enterprise. Strong RBAC on all plans.","No","Kapa.ai / Inkeep / similar embed","","Hybrid (first-party + 3rd-party)","Unknown"
"Read the Docs","https://readthedocs.org/","Platform, PaaS","Hosting and CI/CD platform purpose-built for Sphinx and MkDocs documentation projects. Automatically builds and publishes docs on every git push, with versioning and PDF export. Free for open-source projects.","Free (Open-source), Pay-to-host","Open-core","Company","Yes","reStructuredText, Markdown","Static","Git-synced","No","No","No","HTML, PDF, ePub","Deploy automation, Preview environments","Yes","No","Yes","No","Yes","Yes","No","Pluggable","Partial","Partial","Git-provider SSO, Password (shared), SSO (SAML 2.0), Secret Link, Token / HTTP Header","Business plan: SSO via GitHub, GitLab, Bitbucket, or Google Workspace. Enterprise (beta): SAML via Okta only. Sharing options: secret link, shared password, or HTTP header token with expiry. FOSS version has minimal native auth.","No","External / DIY integration only","","Third-party only","Unknown"
"Readme","https://readme.com/","Platform, API Docs","Developer hub platform focused on API documentation and developer experience. Features interactive API explorers, changelog management, and usage analytics showing which endpoints developers use. Targeted at companies exposing APIs to external developers.","Freemium","VC-backed SaaS","Company","Yes","Markdown, HTML","Dynamic","In-browser editor","Yes","No","Yes","HTML","Deploy automation, Multi-environment, Preview environments","Yes","No","Yes","No","Yes","Yes","No","Built-in (Server-side)","Partial","Partial","LDAP, OIDC / OAuth, Password (shared), RBAC, SSO (SAML 2.0)","SAML SSO (Enterprise): supports AD/LDAP, ADFS, G Suite, Office 365, Azure AD, OIDC, PingFederate, JumpCloud. Password for private projects. SOC 2 Type II, GDPR, HIPAA. Per-project public/private toggle.","Yes","Built-in AI chat/search, MCP server","Included in plan, Paid add-on","First-party (built-in)","Unknown"
"Redocly","https://redocly.com/","Platform, Framework, API Docs","API documentation platform built around OpenAPI. Open-source CLI for building and linting API reference docs, plus a hosted platform with portals and access control. Known for its polished ReDoc rendering engine widely embedded in other tools.","Freemium, Free (Open-source)","Open-core","Company","Yes","Markdown, HTML","Hybrid","API Spec-driven, Local files + CLI","Partial","Yes","Yes","HTML, JSON","Deploy automation, Edge/CDN-friendly, Preview environments","Yes","No","Yes","Yes","Yes","Yes","No","Built-in (Client-side)","Partial","Partial","OIDC / OAuth, RBAC, SCIM, SSO (SAML 2.0)","SAML2 or OIDC SSO (Enterprise). RBAC with IdP group/attribute team mapping. SCIM 2.0 provisioning (beta). Audit trail. Page- and nav-level access control. SOC 2 Type II.","No","llms.txt provided","Included in plan","None","No"
"Sphinx","https://www.sphinx-doc.org/","Framework, Static Site Generator","Python's native documentation generator and the foundation of the open-source docs ecosystem. Supports reStructuredText natively and Markdown via MyST. Powers CPython, Django, NumPy, and thousands of other project docs.","Free (Open-source)","Open-source / Donations","Community","Yes","reStructuredText, Markdown","Static","Local files + CLI","No","Yes","No","HTML, PDF, ePub, Man Pages","Deploy automation, Edge/CDN-friendly","Yes","Yes","Yes","No","Yes","No","Yes","Pluggable","Yes","Yes","DIY / None built-in","Static site generator — no built-in auth. Gate at the web server or hosting layer.","No","External / DIY integration only, llms.txt provided","","None","No"
"Stoplight","https://stoplight.io/","Platform, API Docs","API design and documentation platform with a visual editor for OpenAPI specs. Bridges API design and documentation — teams can design, mock, test, and publish API docs from a single workflow. Useful for teams wanting a less code-heavy approach than Redocly or Fern.","Freemium","Subscription","Company","Yes","Markdown, HTML","Dynamic","API Spec-driven, Git-synced, In-browser editor","Yes","Yes","No","HTML","Deploy automation, Multi-environment, Preview environments","Yes","No","Yes","Yes","Yes","Yes","No","Built-in (Server-side)","Partial","Partial","Git-provider SSO, LDAP, RBAC, SSO (SAML 2.0)","SAML SSO, LDAP, or Git-provider SSO (GitHub, GitLab, Bitbucket). Granular roles and permissions. Private and public docs hosted in one hub. Enterprise feature.","No","External / DIY integration only","","None","No"
"Swimm","https://swimm.io/","Platform, DevOps, Knowledge Management","Code-coupled documentation tool that embeds docs directly in the codebase and auto-updates them when code changes. Keeps internal docs in sync with the code they describe. Designed for engineering teams maintaining internal developer documentation.","Freemium","VC-backed SaaS","Company","Yes","Markdown","Dynamic","Git-synced, IDE-integrated, Local files + CLI","Yes","Yes","No","HTML","Deploy automation, Preview environments","Yes","No","No","Yes","No","Yes","No","Built-in (Server-side)","No","No","OIDC / OAuth, On-prem / Air-gapped, SCIM, SSO (SAML 2.0)","SAML SSO via Okta, Azure AD, JumpCloud. SCIM provisioning. On-prem deployment including air-gapped environments. SOC 2 Type II, ISO 27001. Docs live in your Git repo — inherits repo-level access controls.","Yes","Built-in AI chat/search","Included in plan","First-party (built-in)","Unknown"
"VitePress","https://vitepress.dev/","Framework, Static Site Generator","Vue-powered static site generator from the Vue/Vite team. Fast, Markdown-first, with built-in search and a clean default theme. The natural choice for Vue ecosystem projects and widely used beyond Vue for its speed and simplicity.","Free (Open-source)","Open-source / Donations","Community","Yes","Markdown, MDX","Static","Local files + CLI","No","Yes","Yes","HTML","Deploy automation, Edge/CDN-friendly","Yes","Yes","Yes","No","Yes","No","Yes","Built-in (Client-side)","Partial","Yes","DIY / None built-in","Static site generator — no built-in auth. Gate at CDN or host layer.","No","Algolia Ask AI, llms.txt provided","","None","No"
"Writerside","https://www.jetbrains.com/writerside/","Framework, IDE, Platform","JetBrains documentation authoring environment available as a plugin for JetBrains IDEs. Supports Markdown and XML-based authoring with live preview and built-in doc testing. Previously available as a standalone IDE.","Freemium","Part of Larger Product","Company","Yes","Markdown, XML","Static","IDE-integrated, Local files + CLI","Yes","Yes","Yes","HTML, PDF","Deploy automation, Preview environments","Yes","No","Yes","No","Yes","No","Yes","Built-in (Client-side)","Partial","No","DIY / None built-in","JetBrains IDE plugin that generates static output. No built-in auth — gate at hosting layer. JetBrains Space hosting may add some controls.","No","External / DIY integration only","BYOK, Included in plan · Claude, Gemini, OpenAI, Self-hosted","Hybrid (first-party + 3rd-party)","Yes"
"Zensical","https://zensical.org/","Framework, Static Site Generator","Modern static site generator built by the creators of Material for MkDocs. Designed as a next-generation docs site framework with enhanced theming, navigation, and content authoring capabilities.","Free (Open-source), Pay-to-use","Open-core","Community","Yes","Markdown","Static","Local files + CLI","No","Yes","Yes","HTML","Deploy automation, Edge/CDN-friendly","Yes","Yes","Yes","No","Yes","No","Yes","Built-in (Client-side)","Partial","Yes","","Unknown — insufficient public documentation on auth/gating.","No","Unknown","","Unknown","Unknown"
